,country,name,full_name,isin,currency,symbol
277,malaysia,Farlim,Farlim Group (Malaysia) Bhd,MYL6041OO007,MYR,FLIM
278,malaysia,Sinmah Capital,Sinmah Capital Bhd,MYL9776OO005,MYR,SINM
279,malaysia,Freight Management,Freight Management Holdings,MYL7210OO007,MYR,FMHB
280,malaysia,Focus Lumber,Focus Lumber Bhd,MYL5197OO008,MYR,FOLU
281,malaysia,Formosa Prosonic,Formosa Prosonic Industries,MYL9172OO007,MYR,FPIB
282,malaysia,Fraser Neave,Fraser Neave Holdings Bhd,MYL3689OO006,MYR,FRAS
283,malaysia,Frontken Corp,Frontken Corporation Bhd,MYQ0128OO007,MYR,FRKN
284,malaysia,FSBM,FSBM Holdings Bhd,MYL9377OO002,MYR,FUJI
285,malaysia,Kerjaya Prospek,Kerjaya Prospek Group Bhd,MYL7161OO002,MYR,KREJ
286,malaysia,Favelle Favco,Favelle Favco Bhd,MYL7229OO007,MYR,FVCO
287,malaysia,Gadang,Gadang Holdings Bhd,MYL9261OO008,MYR,GADA
288,malaysia,Goh Ban Huat,Goh Ban Huat Bhd,MYL3611OO000,MYR,PARA
289,malaysia,GD Express Carrier,GD Express Carrier Bhd,MYQ0078OO004,MYR,GDEX
290,malaysia,Ge Shen Corp,Ge Shen Corporation Bhd,MYL7197OO006,MYR,GESH
291,malaysia,GHL Systems,GHL Systems Bhd,MYQ0021OO004,MYR,GHLS
292,malaysia,Grand Hoover,Grand Hoover Bhd,MYL7010OO001,MYR,GHOO
293,malaysia,George Kent,George Kent (Malaysia) Bhd,MYL3204OO004,MYR,GKMS
294,malaysia,IGB,IGB Bhd,MYL5606OO008,MYR,IGBB
295,malaysia,Global Oriental,Global Oriental Bhd,MYL1147OO007,MYR,GLOL
296,malaysia,Glomac,Glomac Bhd,MYL5020OO002,MYR,GLOM
297,malaysia,Globaltec Formation,Globaltec Formation Bhd,MYL5220OO008,MYR,GLOT
298,malaysia,Gromutual,Gromutual Bhd,MYL9962OO001,MYR,GMUT
299,malaysia,Guan Chong,Guan Chong Bhd,MYL5102OO008,MYR,GNCH
300,malaysia,Globetronics Tech,Globetronics Tech Bhd,MYL7022OO006,MYR,GNIC
301,malaysia,Golden Land,Golden Land Bhd,MYL7382OO004,MYR,GOLD
302,malaysia,Gopeng,Gopeng Bhd,MYL2135OO001,MYR,GOPK
303,malaysia,GPA,GPA Holdings Bhd,MYL7096OO000,MYR,GPAH
304,malaysia,Green Packet,Green Packet Bhd,MYQ0082OO006,MYR,GRNP
305,malaysia,Golden Pharos,Golden Pharos Bhd,MYL5649OO008,MYR,GROS
